0, 0, 0
1, 1545084, 1545084
2, 2938926, 2938926
3, 4045084, 4045084
4, 4755282, 4755282
5, 5000000, 5000000
6, 4755282, 4755282
7, 4045084, 4045084
8, 2938926, 2938926
9, 1545084, 1545084
10, 0, 0
11, -1545084, -772542
12, -2938926, -1469463
13, -4045084, -2022542
14, -4755282, -2377641
15, -5000000, -2500000
16, -4755282, -2377641
17, -4045084, -2022542
18, -2938926, -1469463
19, -1545084, -772542
20, 0, 0
21, 1545084, 1158813
22, 2938926, 2204194
23, 4045084, 3033813
24, 4755282, 3566461
25, 5000000, 3750000
26, 4755282, 3566461
27, 4045084, 3033813
28, 2938926, 2204194
29, 1545084, 1158813
30, 0, 0
31, -1545084, -965677
32, -2938926, -1836829
33, -4045084, -2528177
34, -4755282, -2972051
35, -5000000, -3125000
36, -4755282, -2972051
37, -4045084, -2528177
38, -2938926, -1836829
39, -1545084, -965677
40, 0, 0
41, 1545084, 1062245
42, 2938926, 2020511
43, 4045084, 2780995
44, 4755282, 3269256
45, 5000000, 3437500
46, 4755282, 3269256
47, 4045084, 2780995
48, 2938926, 2020511
49, 1545084, 1062245
50, 0, 0
51, -1545084, -1013961
52, -2938926, -1928670
53, -4045084, -2654586
54, -4755282, -3120654
55, -5000000, -3281250
56, -4755282, -3120654
57, -4045084, -2654586
58, -2938926, -1928670
59, -1545084, -1013961
60, 0, 0
61, 1545084, 1038103
62, 2938926, 1974591
63, 4045084, 2717791
64, 4755282, 3194955
65, 5000000, 3359375
66, 4755282, 3194955
67, 4045084, 2717791
68, 2938926, 1974591
69, 1545084, 1038103
70, 0, 0
71, -1545084, -1026032
72, -2938926, -1951630
73, -4045084, -2686188
74, -4755282, -3157804
75, -5000000, -3320312
76, -4755282, -3157804
77, -4045084, -2686188
78, -2938926, -1951630
79, -1545084, -1026032
80, 0, 0
81, 1545084, 1032068
82, 2938926, 1963111
83, 4045084, 2701990
84, 4755282, 3176380
85, 5000000, 3339844
86, 4755282, 3176380
87, 4045084, 2701990
88, 2938926, 1963111
89, 1545084, 1032068
90, 0, 0
91, -1545084, -1029050
92, -2938926, -1957370
93, -4045084, -2694089
94, -4755282, -3167092
95, -5000000, -3330078
96, -4755282, -3167092
97, -4045084, -2694089
98, -2938926, -1957370
99, -1545084, -1029050
